name,location,phone_number,website
Goldman Jeremy Dr,Richmond-Hill,9058844094,
Schisler Dale Dr,Richmond-Hill,9058830411,
Uhlman Chris Dr,Richmond-Hill,9057708758,
Redwoods Dental Langley,Richmond-Hill,9058843571,
Christophe Dale Dr Inc,Richmond-Hill,9058843186,
Ho David L Dr,Richmond-Hill,9057801400,
Martin Lawrence Dr,Richmond-Hill,9057801222,
Centre Dentaire Desgagno,Richmond-Hill,9057709477,
Vanderpluym Gerald Dr,Richmond-Hill,9058844161,
Russell W E Dr,Richmond-Hill,9058866198,
Gasiorowski Marek Dr,Richmond-Hill,9058827856,
Houston James Dr,Richmond-Hill,9057643400,
El-Faizy Gameel Dr,Richmond-Hill,9057377788,
White Oaks Medical-Dental Centre-Dental Office,Richmond-Hill,9057707707,
Herzog Tammy Dr,Richmond-Hill,9057730224,
McIntyre Thomas R Dr,Richmond-Hill,9057643400,
The Esthene Centre For Dental Esthetics,Richmond-Hill,9057090005,
Cameron Dental Centre,Richmond-Hill,9057376891,
Sigesmund Jana Dr,Richmond-Hill,9058834643,
Pulec Dentistry,Richmond-Hill,9054820652,
Clinique Dentaire Alexandria,Richmond-Hill,9052242290,
Dentistry In Oak Ridges,Richmond-Hill,9057733306,
Panovski Elena Dr,Richmond-Hill,9057708758,
Heritage Lane Dental Clinic,Richmond-Hill,9058840652,
Ziereisen Peter Dr,Richmond-Hill,6138385151,
Brodsky Alex Dr,Richmond-Hill,9055084700,
Burgess C A Dr,Richmond-Hill,9058820026,
Horsman Michael Dr Professional Corporation,Richmond-Hill,9058827843,
Richard Leo-Paul Dr,Richmond-Hill,9057318900,
Shivji Amin Dr,Richmond-Hill,9058811522,
Hui Donald Dr,Richmond-Hill,9058861444,
Pride Dental Magmt Inc,Richmond-Hill,9057878900,
Smith D J Dr,Richmond-Hill,9058834111,
Sawchuk M Dr,Richmond-Hill,9058827753,
Round Hose Dental,Richmond-Hill,9057736288,
Ashley David Dr,Richmond-Hill,9058844094,
Montis F Dr,Richmond-Hill,9058840783,
Colinas G Dr,Richmond-Hill,9057374000,
Clinique Dentaire Dre Valorie Lewis,Richmond-Hill,9057716356,
Kochberg Marshall Dr,Richmond-Hill,9058830411,
Dr J R Smith &amp; Associates,Richmond-Hill,6138385151,
Ong Derek Dr,Richmond-Hill,9058830933,
Family Dental Associates,Richmond-Hill,9055087722,
Kavanagh Paul Dr,Richmond-Hill,9058868740,
Hughes Jeff Dr,Richmond-Hill,9058831334,
Hodge Robert A Dr,Richmond-Hill,9057374000,
G C Spiers Denture Clinic,Richmond-Hill,9058844601,
Wallace Jeremy Dr,Richmond-Hill,9058812851,
Vulcan Dental Clinic,Richmond-Hill,9057700099,
Perron Wayne Dr,Richmond-Hill,6138382085,
Zimmerman Daniel Dr,Richmond-Hill,9058860105,
Sundre Dental,Richmond-Hill,9057710788,
Churchill Meadows Dental Centre,Richmond-Hill,9058844094,
Crescent Dental Health,Richmond-Hill,9057705100,
Southview Dental,Richmond-Hill,9057078833,
Harris Douglas J Dr,Richmond-Hill,9058843713,
Westowne Dental,Richmond-Hill,9058820026,
Goldstream Dental Clinic,Richmond-Hill,9057316222,
Bayview Plaza Dental,Richmond-Hill,9057808444,
Ikonomou Vicky Dr,Richmond-Hill,9058811522,
Robertson J W Dr,Richmond-Hill,9057703000,
Mah Judy Dr,Richmond-Hill,9057737773,
Hillcrest Dental Centre,Richmond-Hill,9058830411,
Lau Cora K Y Dr,Richmond-Hill,9058898006,
Jurczak Edward C Dr,Richmond-Hill,9058847151,
Krawczuk Michael Dr,Richmond-Hill,9058843571,
Richmond Hill Dental Group,Richmond-Hill,9057374000,
Pister A Dr,Richmond-Hill,9058827753,
Kemp Dentistry Professional Corp,Richmond-Hill,9058847769,
Reeds Douglas L General Dentist,Richmond-Hill,9057807660,
Tobis L Dr,Richmond-Hill,9058827753,
Benbassat Joseph &amp; George,Richmond-Hill,9052242290,
Mayer Jonathan M Dr,Richmond-Hill,9055085568,
Chiu S Biu B Dr,Richmond-Hill,9057077900,
Brampton Dental Arts,Richmond-Hill,9058849914,
Filippi Susan Dr,Richmond-Hill,9058844094,
Willow Place Medical Dental Group,Richmond-Hill,9058847151,
Westgate Dental Centre,Richmond-Hill,9053131003,
Eckert Mandy Dr Dentist,Richmond-Hill,,
Richmond Hill,Richmond-Hill,9057643400,
Vellore Woods Dentistry,Richmond-Hill,9057701212,
Gavert Kevin Dr,Richmond-Hill,9057702323,
Mitnyan Charles L Dr,Richmond-Hill,9057377300,
Tuchiaro Dave Dr,Richmond-Hill,9057379707,
Hillcrest Mall Dental – Dr Greenwald &amp;amp,Richmond-Hill,9058831334,
Van Middlesworth D H Dr,Richmond-Hill,9057705100,
Guirguis Medhat Dr,Richmond-Hill,9057717645,
Sardana Regine Dr,Richmond-Hill,9058846600,
Lee Sonny,Richmond-Hill,9058840783,
Sicherman Mark J Dr Inc,Richmond-Hill,9058847550,
Demmings Dan Dr,Richmond-Hill,9057099913,
Budd Steven Dr Inc,Richmond-Hill,9057736288,
Mazzolani Patricia Dr,Richmond-Hill,9057808822,
Zuk M Y Dr,Richmond-Hill,9057370516,
Centre Dentaire Martin Turgeon,Richmond-Hill,9058863222,
Schisler D Dr,Richmond-Hill,9058830411,
Treehuba Steven W Dr,Richmond-Hill,6138382085,
Gasiorowska Mira Dr,Richmond-Hill,9058827856,
Jurczak Edward C Dr,Richmond-Hill,9057702323,
Aiken Karen Dr,Richmond-Hill,9058820026,
Garofalo Ernesto Dr,Richmond-Hill,9057370677,
Humberland Dental,Richmond-Hill,2892100311,http://humberlanddental.com/wordpress/
,Richmond-Hill,,
Art Dent Family Dentistry,Richmond-Hill,2893170750,
Bayview Hill Orthodontics,Richmond-Hill,2893799487,http://bayviewhillortho.com
Hummingbird Dental Hygiene,Richmond-Hill,9052377976,http://hummingbirddental.ca
Expressions Dental Care,Richmond-Hill,,http://www.expressionsdentalcare.com
Competitive Dental Hygiene Clinic,Richmond-Hill,,
Dr. David Michelberger,Richmond-Hill,9057734456,
Dr. Aurel David Dentistry,Richmond-Hill,9055977778,
Hillcrest Dental Centre,Richmond-Hill,9058830411,http://www.hillcrest-dental.com
Baluke Dental Studios,Richmond-Hill,2895140283,http://www.baluke.com
Smiles on Yonge Orthodont,Richmond-Hill,9055976453,http://www.brace-your-smile.com
Dr. Paul Hu,Richmond-Hill,9058830888,http://www.usmile2.ca
Dr. George Lee,Richmond-Hill,9057620808,
Viva Dental Care,Richmond-Hill,9055977750,http://vivadentalcare.com/
X-Ray Associates,Richmond-Hill,9057370594,http://www.xrayassociates.org/
Crown-Tech Dental Laboratories,Richmond-Hill,9057633456,
Picasso Dental Studios,Richmond-Hill,9058839447,http://www.picassodentalstudios.com/
Precision Tech Dental Labs Ltd,Richmond-Hill,9058833980,
Monz Dental Lab,Richmond-Hill,9058833643,
Star Dental Laboratory,Richmond-Hill,9057313154,
Finch at Warden Dentistry,Scarborough,4164993322,http://www.finchatwardendentistry.com
Scarborough Dentist,Scarborough,4166391136,http://dawsondental.ca/
Pine Ridge Dental Centre,Scarborough,4162818073,http://www.pineridgedental.ca/
Polar Dental Centre,Scarborough,18884922268,http://www.polardental.com/
Dr. David Eisenstat,Scarborough,4162933336,http://www.dentistryforchildrentoronto.ca/
Westford Dental Centre,Scarborough,6474978099,
Toothworks,Scarborough,6475581661,
Markham Elington Dental Centre,Scarborough,4162678783,http://www.markhameglintondental.com/
Dr. Gus Servinis,Scarborough,4167567915,http://www.papefinchdental.com/
Centenary Dental,Scarborough,18888972371,http://www.centenarydental.com
Ellesmere Dental Centre,Scarborough,4162892110,http://www.ellesmeredental.ca/
Ellesmere Kennedy Dental Centre,Scarborough,4167523455,http://www.ellesmerekennedydental.ca/
White Willow Dental,Scarborough,6478468780,
Integrative Health Group,Scarborough,,http://www.integrativehealth.info/
Sone’s On Sheppard Dental Centre,Scarborough,4164910737,
Cliffcrest Dental Office,Scarborough,4162651400,
Dentistry on Rochman,Scarborough,6475583055,http://www.dentistryonrochman.com/
Family Dentistry at Markham and Lawrence,Scarborough,6478468657,http://www.familydentistryatmarkhamlawrence.ca/
Dr L R Pantel,Scarborough,4164947780,
Dr. Edward Pong,Scarborough,4162987575,http://scarborough-oshawa-orthodontics.com/
Dr. Michael Handler,Scarborough,4162674661,
Braceland Orthodontists,Scarborough,4164972122,http://www.mybraceland.com/
Dr. Paul Mirkopulos,Scarborough,4164972277,http://smilework.ca/
Platt Dentistry,Scarborough,4162827986,http://www.plattdentistry.ca/
Dr. Stephen Weingarten,Scarborough,4167517605,http://www.drstephenweingarten.com/
Dr. Deborah Lin Dentistry Proffessional Corp,Scarborough,4162983232,
Dr. Daniel Gibbs,Scarborough,4167552921,http://www.toothwizard.ca/
Dr. S. Gharai,Scarborough,4164918621,
Malvern Town Centre Dental,Scarborough,4162975513,http://loveyoursmiletoday.com/
Hillsborough Dental Centre,Scarborough,4162897373,
Dr. Stacey Kirshenblatt Orthodontist,Scarborough,4164314222,
Sunrise Kids Dental,Scarborough,6473507562,http://www.sunrisekidsdental.com/
Guildwood Dental,Scarborough,4162614333,
Dr. Efrat Pearlman Orthodontist,Scarborough,4164314222,
Scarborough Town Orthodontics,Scarborough,,http://www.worldofsmiles.com/
Elles Birch Dental,Scarborough,4162855003,http://www.dentist-scarborough.ca/
Dr. Marvin Budd,Scarborough,4164310400,http://drmbudd.com/
Bridlewood Dental Centre,Scarborough,4164916602,http://bridlewooddentalcentre.com/
Dental Office on Kennedy,Scarborough,4162933368,
Dr. Martin Chin ,Scarborough,4162924944,
Golfdale Dental Centre ,Scarborough,4164395111,http://www.golfdaledental.com/
Dr. Bradley V Oldfin ,Scarborough,4162616578,http://www.tmddental.com/
Dr M Yollick &amp; Associates,Scarborough,4162675754,
Dr. Sonia Sun-He Chung,Scarborough,4162983232,
Dr Warren Hellen ,Scarborough,4162651400,
Markham Elington Dental Centre,Scarborough,4162678783,
Dr. Gary Elman,Scarborough,4162651400,
Dr. Jack Train,Scarborough,4162961080,
Dr Stephens Abrams,Scarborough,4162651400,
Dr. Jeremy Goldman,Scarborough,4162961080,http://www.dentistryatconsilium.com/
Midtown Denture Clinic,Scarborough,4167925121,http://www.midtowndenture.ca/
Parkway Dental,Scarborough,4164412565,http://parkwaydental.ca/
Dr. Emel Arat,Scarborough,4164972122,
Dr. Rebecca Cohen,Scarborough,4162983232,
Dr. Howard Stein,Scarborough,4162983232,
Altima Cedarbrae Dental Centre,Scarborough,4164381411,
Universal Smile Dental Clinic,Scarborough,4162888700,
Dr. Margaret Krawczyk,Scarborough,4162676699,
Dr. Wayne Grossman,Scarborough,4162865598,http://www.drwgrossman.ca/
Dorset Dental Office,Scarborough,4162612946,http://www.dorsetdental.com/
Vic Park Dental,Scarborough,4164918621,http://www.vicparkdental.com/
Neilson Dental Centre,Scarborough,6477920353,http://neilsondentalcentre.com/
Apple Dentures,Scarborough,4164385440,http://appledentures.ca/
Scarboro Dental Laboratories,Scarborough,4162970637,
Extreme Dental Laboratories Inc,Scarborough,4162860111,http://www.extremedentallab.com/
Noble Dental Laboratories Inc,Scarborough,4164495888,
Delux Dental Laboratory Inc,Scarborough,4164382284,
M N T Dental Laboratories,Scarborough,4162841225,http://www.mntdental.com/
Isomorphics Dental Inc,Scarborough,4164319600,http://www.isomorphicsdental.com/
Bio-Dent Laboratories,Scarborough,4162982848,http://www.biodentlab.com/
Hona Dental Laboratory,Scarborough,4164924774,
Progressive Smile Dental Lab,Scarborough,6474090707,http://progressivesmile.com/
T M J Dental Laboratories,Scarborough,4162923080,
Priority Dental Lab,Scarborough,4167525899,
Maple Leaf Dental Orthodontic,Scarborough,4162672332,
Chan Vincent Dental Lab,Scarborough,4162897571,
Inter-Cast (Division Of Mnt Dental Lab),Scarborough,4162847449,
United Smiles of Kensington Dental Office,Toronto,4169442178,https://www.facebook.com/pages/United-Smiles-of-Kensington-Dental-Office/118016214912937?sk=timeline&ref=page_internal
Toronto Dentist Rosedale,Toronto,416639138,http://dawsondental.ca/our-locations/toronto-dentist/
Toronto Dentist Yorkville,Toronto,4169277677,http://dawsondental.ca/our-locations/toronto-dentist-yorkville/
Toronto Dentist Queen Street,Toronto,4166391143,http://dawsondental.ca/our-locations/queen-street-dentists-in-toronto/
The Village Dentist,Toronto,4167600404,http://www.thevillagedentist.com/
Royal Bank Plaza Dental Centre,Toronto,4378893282,http://www.royaldentalcentre.com
Midtown Dental Centre,Toronto,4169663368,http://www.midtowndental.ca/
Dr. Claudia Wood,Toronto,4164616516,http://www.danforthdental.ca
Dr. Gus Servinis,Toronto,4164692320,http://www.papefinchdental.com/
Dental Emergency Services,Toronto,6478468340,http://www.dentalemergencyservices.ca/
Downtown Dental Care,Toronto,6475583392,http://www.dentalhouse.ca
The Art of Dentistry,Toronto,4169277677,http://www.artofdentistry.com
Dr. E. Tsimerman,Toronto,6475582575,http://www.oneyongedentaloffice.com
Dr. Steven Stern,Toronto,6475561236,
Dr. Stephen Tannis,Toronto,6473450505,http://www.oakwoodvillagedental.com
The Richmond Dental Centre,Toronto,4162140508,http://www.therichmonddentalcentre.com
Dentistry on Danforth,Toronto,4164664422,http://www.dentistryondanforth.com/
Bloor West Village Dental,Toronto,6474978043,http://www.bloorwestdentist.com/
Dr. Leslie Train,Toronto,4166993910,http://www.kingstonparkdental.ca/
Dr. M. Strugurescu,Toronto,6478468046,http://www.danforthdentistry.com/
Dr. R Simeon Minkov,Toronto,4169223049,
Village Othodontics,Toronto,4169600200,http://www.villageortho.ca
Dr. Irma Kacur,Toronto,4166044009,http://www.bloorsmiledental.com
Dr. Granowska &amp; Dr. Bailey,Toronto,6478467281,http://www.drbaileyanddrgranowskadentist.ca
High Park Dental Care,Toronto,4167666383,http://www.highparkdentalcare.com/
Dr. Randall Kodama,Toronto,4164881643,http://www.drrmkodamadentistry.ca
Dentalhouse,Toronto,,http://www.mycitydental.ca
Dr. Richard Styka,Toronto,6476942463,http://www.drstyka.com
Dentistry on Bay,Toronto,6475583107,http://www.dentistryonbay.com/
Rosedale Orthodontics,Toronto,4169257300,http://www.rosedaleortho.com
Curity Dental Care,Toronto,4167550151,http://www.curitydental.com/
Yonge Davisville Dentistry,Toronto,4164893344,http://www.yongedavisvilledentistry.com/
Dr. Teresa Magus,Toronto,6475583042,
Dr M. Sterling,Toronto,6474929298,
Harbourfront Dental,Toronto,4162602001,http://www.harbourfrontdental.com
Dr. Lancelot A. Brown,Toronto,4169229040,http://drlbrown.com/
Dr. Beverley M. Isaac,Toronto,4169255300,http://www.drbevisaac.ca/
Adelaine Dental,Toronto,4164290150,http://adelaidedental.ca/
Bloor West Smiles,Toronto,6478467276,http://www.bloorwestsmiles.com
Dr. Charles Goldberg,Toronto,4165919177,http://www.charlesgoldbergdds.com
Dr. Mohsen F Assaad,Toronto,4164827000,http://www.drassaad.com/
Dr. Angelos Metaxas,Toronto,4164824564,http://www.metaxas-pollard.ca
Eglinton West Dental,Toronto,4167821711,
Endodontics Specialists,Toronto,4163601553,http://www.rootcanals.ca
Cabbagetown Dental Centre,Toronto,4169277600,http://www.cabbagetowndental.com
Plaza Dental Centre,Toronto,4168619990,http://www.plazadental.ca
Yonge Eglinton Periodontics &amp; Implant Surgery,Toronto,4164811179,http://drandrewkay.com/
Bathurst Walk in Dental Centre,Toronto,4378893283,
Dr. Paul M Piccinni,Toronto,4165937311,
Dr Corp Professional,Toronto,4165326689,http://www.drbobadler.com/
Bay Bloor Dental,Toronto,4169642255,http://www.baybloordental.com
Dr. Lee Monica &amp; Associates,Toronto,4165373540,
Dr D R Speers,Toronto,4165970534,
Dr. Norman Finkelstein,Toronto,4169600716,
Forest Hill Village Orthodontics,Toronto,4167891231,http://www.foresthillvillageorthodontics.com/
Pacific Dental,Toronto,4167629706,http://www.pacificdentalonbloor.com/
Dr. Kerry Lim,Toronto,4163623875,http://www.drkerrylim.com
St. Clair Dental Associates,Toronto,4169208800,http://www.stclairdental.ca/
Dr. Kathie Schenk,Toronto,4164669923,http://www.drschenk.ca/
Cumberland Periodontics,Toronto,4169249397,http://www.cumberlandperiodontics.com/
Dr. P. Chris Cadas,Toronto,4168620140,
Dundas Dental,Toronto,4167679591,http://www.dentistryplus.com
Dr. Emily Trohatos Orthodontist,Toronto,4164658880,http://www.orthodonticsondanforth.com/
Dr. Yolanda Cruz Dentistry,Toronto,4165955490,http://torontodentistry.info/
Dr. D. Caplan – Balsam Dental,Toronto,4166918555,http://www.balsamdental.com/
Niwong Susanne,Toronto,4169683649,http://drniwong.com
Care Dental,Toronto,4164612273,http://dentalcaretoronto.com/
Dr. David Farkouh &amp; Friends,Toronto,4164894425,http://www.drdavidfarkouhandfriends.com
Dr. Miriam Grushka,Toronto,4167872930,http://www.miriamgrushka.ca
Dr. Joshua Charlat,Toronto,4164152429,http://www.composium.com
Dr. A.Glasspole,Toronto,4165322482,
Beach Dental,Toronto,4166998282,http://www.beachdental.ca
Dr. Hasmig Aynaciyan,Toronto,4163633018,
Polar Dental Centre,Toronto,4167895359,http://www.polardental.com
Doctor Vengjen Doris,Toronto,4164884441,http://alpine-dental.com/
Dr. Filipchuk Rose,Toronto,4164692320,
Altima College West Dental Centre,Toronto,4165335544,http://www.altimadental.com
Don Valley Dental Centre,Toronto,4164651441,
Millwood Dental Centre,Toronto,4164212131,
Diamond Dental Clinic,Toronto,4165512211,http://torontodiamonddental.com
Smile by Design Denture Clinic,Toronto,6477228751,http://www.designyoursmile.ca
Dr. R. Delmas,Toronto,4163664475,
O’Connor Dental Care,Toronto,4167590895,http://www.drnolasco.com/
Downtown Dental Dr. Philips,Toronto,4165935111,http://downtowndental.ca/
720 King West Dental,Toronto,4167036408,
Dr. Jerry Vasilakos,Toronto,4169231733,http://www.planetdentistry.com
Dr. Xu Mei Long,Toronto,4169698878,http://www.generaldent.com
Dr. Suanita Hodzic,Toronto,4169772000,http://www.dentalbythegrange.com
Yonge &amp; Steeles Dental Care,Toronto,4162224762,http://www.smilingstardental.com/
Queensway Dental,Toronto,6474976121,http://www.queenswaydental.net
Dr. Karp Shelli,Toronto,4166091500,
Dr. Mary Tam Endodontist,Toronto,,http://www.endogroup.ca
Humbertown Orthodontics,Toronto,4162314313,http://www.humbertownortho.com
Fairview Mall Dental Centre,Toronto,6477922959,http://www.fairviewmalldentalcentre.com
H&amp;M Dental&amp;Associates,Toronto,4169773974,http://www.torontodentistdowntown.ca/
Bloor Dental Clinic,Toronto,4165352111,http://bloordentalclinic.com/
Hatamian Dentistry,Toronto,4164876453,http://www.hatamiandentistry.com/
Portrait Dental,Toronto,4165346000,http://cosmeticdentiststoronto.ca/
City Orthodontics,Toronto,4162223223,http://www.cityortho.ca/
DSK Dental at Bayview Village,Toronto,4167330800,http://dskdental.com/
M&amp;J Dental Clinic,Toronto,4165323002,http://www.mjdental.com/
Yorkdon Dental,Toronto,4164412222,http://yorkdondental.com/
Dr. Maqueira &amp; Associates,Toronto,4163987460,http://drmaqueira.com/
Bay College Dental,Toronto,4166406400,http://baycollegedentalcenter.com/
 Fort York Dentist,Toronto,6473468888,http://www.fortyorkdentist.com
